Source Title,Scopus Source ID,MCQ,p_issn,e_issn,Top 10%,10% - 35%,35% - 60%,60% - 80%,Bottom 20%
Logica Universalis,6400153123,"0,121739130434783",16618297,16618300,NO Top 10%,NO 10% - 35%,NO 35% - 60%,1,0
Logical Methods in Computer Science,19700175752,"0,546116504854369",18605974,18605974,6,1,0,NO 60% - 80%,NO Bottom 20%
Logique et Analyse,5800167966,"0,0081967213114754",00245836,0,NO Top 10%,NO 10% - 35%,NO 35% - 60%,10,0
"Matematica, Cultura e Societa",21100904887,0,2499751X,0,NO Top 10%,NO 10% - 35%,NO 35% - 60%,28,0
Matematicki Vesnik,145255,"0,167664670658683",00255165,24060682,NO Top 10%,NO 10% - 35%,4,0,NO Bottom 20%
Mathematica Bohemica,19900192004,"0,21978021978022",08627959,24647136,NO Top 10%,NO 10% - 35%,3,0,NO Bottom 20%
Mathematica Slovaca,11900154311,"0,267326732673267",01399918,13372211,NO Top 10%,NO 10% - 35%,1,0,NO Bottom 20%
Mathematical Communications,19500157817,"0,258333333333333",13310623,0,NO Top 10%,NO 10% - 35%,1,0,NO Bottom 20%
Mathematical Intelligencer,24574,"0,0622837370242214",03436993,0,NO Top 10%,NO 10% - 35%,NO 35% - 60%,3,0
Mathematical Logic Quarterly,24577,"0,268181818181818",09425616,15213870,NO Top 10%,NO 10% - 35%,1,0,NO Bottom 20%
Mathematical Notes,96933,"0,331061343719572",00014346,15738876,NO Top 10%,4,0,NO 60% - 80%,NO Bottom 20%
Mathematical Reports,21100262314,"0,143646408839779",15823067,22853898,NO Top 10%,NO 10% - 35%,10,1,0
Mathematical Research Letters,25055,"0,852112676056338",10732780,1945001X,2,0,NO 35% - 60%,NO 60% - 80%,NO Bottom 20%
Mathematical Structures in Computer Science,5000157801,"0,461538461538462",09601295,14698072,NO Top 10%,1,0,NO 60% - 80%,NO Bottom 20%
Mathematical and Computational Applications,24557,"0,095505617977528",1300686X,22978747,NO Top 10%,NO 10% - 35%,NO 35% - 60%,1,0
Mathematics in Computer Science,10900153313,"0,155555555555555",16618270,16618289,NO Top 10%,NO 10% - 35%,6,1,0
Mathematische Nachrichten,25107,"0,806324110671937",0025584X,15222616,2,0,NO 35% - 60%,NO 60% - 80%,NO Bottom 20%
Memoirs of the American Mathematical Society,24671,"2,90963855421687",00659266,19476221,1,0,NO 35% - 60%,NO 60% - 80%,NO Bottom 20%
Mind,25403,"0,027027027027027",00264423,14602113,NO Top 10%,NO 10% - 35%,NO 35% - 60%,6,0
Monatshefte fur Mathematik,25167,"0,714524207011686",00269255,14365081,3,0,NO 35% - 60%,NO 60% - 80%,NO Bottom 20%
New Mathematics and Natural Computation,21100206263,"0,05",17930057,17937027,NO Top 10%,NO 10% - 35%,NO 35% - 60%,3,0
Note di Matematica,21100244002,"0,231481481481481",11232536,15900932,NO Top 10%,NO 10% - 35%,2,0,NO Bottom 20%
Notices of the American Mathematical Society,145509,"0,25214899713467",00029920,10889477,NO Top 10%,NO 10% - 35%,1,0,NO Bottom 20%
Notre Dame Journal of Formal Logic,19700167702,"0,327272727272727",00294527,19390726,NO Top 10%,5,0,NO 60% - 80%,NO Bottom 20%
Novi Sad Journal of Mathematics,21100197180,"0,0979020979020979",14505444,24062014,NO Top 10%,NO 10% - 35%,NO 35% - 60%,1,0
Order,25744,"0,436363636363636",01678094,15729273,NO Top 10%,2,0,NO 60% - 80%,NO Bottom 20%
Pacific Journal of Mathematics,25761,"0,717357910906298",00308730,0,3,0,NO 35% - 60%,NO 60% - 80%,NO Bottom 20%
Parallel Computing,26138,"0,19672131147541",01678191,0,NO Top 10%,NO 10% - 35%,3,0,NO Bottom 20%
Parallel Processing Letters,26141,"0,0854700854700854",01296264,1793642X,NO Top 10%,NO 10% - 35%,NO 35% - 60%,2,0
Periodica Mathematica Hungarica,145603,"0,454545454545454",00315303,15882829,NO Top 10%,1,0,NO 60% - 80%,NO Bottom 20%
Philosophia Mathematica,145723,"0,0526315789473684",00318019,17446406,NO Top 10%,NO 10% - 35%,NO 35% - 60%,3,0
"Philosophical transactions. Series A, Mathematical, physical, and engineering sciences",29784,"0,501128668171558",1364503X,14712962,NO Top 10%,1,0,NO 60% - 80%,NO Bottom 20%
Philosophy of Science,22308,"0,0078125",00318248,1539767X,NO Top 10%,NO 10% - 35%,NO 35% - 60%,12,0
Portugaliae Mathematica,21100239257,"0,529411764705882",00325155,16622758,20,1,0,NO 60% - 80%,NO Bottom 20%
Proceedings of the American Mathematical Society,24677,"0,778016316015457",00029939,10886826,2,0,NO 35% - 60%,NO 60% - 80%,NO Bottom 20%
Proceedings of the Jangjeon Mathematical Society,12000154535,"0,224137931034483",15987264,25087916,NO Top 10%,NO 10% - 35%,2,0,NO Bottom 20%
Proceedings of the London Mathematical Society,24487,"1,46770025839793",00246115,1460244X,1,0,NO 35% - 60%,NO 60% - 80%,NO Bottom 20%
Proceedings of the Romanian Academy Series A - Mathematics Physics Technical Sciences Information Science,21100241779,"0,105882352941176",14549069,0,NO Top 10%,NO 10% - 35%,NO 35% - 60%,1,0
Publications de l'Institut Mathematique,12100156711,"0,190677966101695",03501302,0522828X,NO Top 10%,NO 10% - 35%,3,0,NO Bottom 20%
Quarterly Journal of Mathematics,26308,"0,76",00335606,14643847,2,0,NO 35% - 60%,NO 60% - 80%,NO Bottom 20%
Quasigroups and Related Systems,21100199806,"0,0896551724137931",15612848,0,NO Top 10%,NO 10% - 35%,NO 35% - 60%,2,0
Rendiconti del Circolo Matematico di Palermo,12100155618,"0,345",0009725X,19734409,NO Top 10%,4,0,NO 60% - 80%,NO Bottom 20%
Rendiconti dell'Istituto di Matematica dell'Universita di Trieste,21100229197,"0,306818181818182",00494704,24648728,NO Top 10%,8,1,0,NO Bottom 20%
Reports on Mathematical Logic,21100202911,"0,235294117647059",01372904,20842589,NO Top 10%,NO 10% - 35%,1,0,NO Bottom 20%
Review of Symbolic Logic,19800188078,"0,396341463414634",17550203,17550211,NO Top 10%,2,0,NO 60% - 80%,NO Bottom 20%
Revista Colombiana de Matematicas,21100332207,"0,181818181818182",00347426,23574100,NO Top 10%,NO 10% - 35%,3,0,NO Bottom 20%
Revista de la Union Matematica Argentina,19900191818,"0,307692307692308",00416932,16699637,NO Top 10%,7,1,0,NO Bottom 20%
Russian Mathematics,19700182651,"0,0964083175803402",1066369X,1934810X,NO Top 10%,NO 10% - 35%,NO 35% - 60%,1,0
Scientific Annals of Computer Science,19600157312,"0,239130434782609",18438121,22482695,NO Top 10%,NO 10% - 35%,1,0,NO Bottom 20%
"Selecta Mathematica, New Series",147234,"1,32198142414861",10221824,14209020,1,0,NO 35% - 60%,NO 60% - 80%,NO Bottom 20%
Siberian Electronic Mathematical Reports,21100199808,"0,105924596050269",18133304,18133304,NO Top 10%,NO 10% - 35%,NO 35% - 60%,1,0
Siberian Mathematical Journal,26870,"0,25381679389313",00374466,15739260,NO Top 10%,NO 10% - 35%,1,0,NO Bottom 20%
Statistics and Computing,23614,"0,325688073394495",09603174,15731375,NO Top 10%,6,1,0,NO Bottom 20%
Studia Logica,144951,"0,232727272727273",00393215,15728730,NO Top 10%,NO 10% - 35%,2,0,NO Bottom 20%
Studia Scientiarum Mathematicarum Hungarica,26948,"0,240506329113924",00816906,15882896,NO Top 10%,NO 10% - 35%,1,0,NO Bottom 20%
Synthese,27699,"0,0682196339434276",00397857,15730964,NO Top 10%,NO 10% - 35%,NO 35% - 60%,2,0
Tatra Mountains Mathematical Publications,21100199716,"0,0847457627118644",12103195,0,NO Top 10%,NO 10% - 35%,NO 35% - 60%,2,0
Thai Journal of Mathematics,19900192463,"0,0510948905109489",16860209,0,NO Top 10%,NO 10% - 35%,NO 35% - 60%,3,0
Theoretical Computer Science,20571,"0,473317865429234",03043975,0,NO Top 10%,1,0,NO 60% - 80%,NO Bottom 20%
Theoria (Spain),5800207635,0,04954548,2171679X,NO Top 10%,NO 10% - 35%,NO 35% - 60%,28,0
Theory and Applications of Categories,145268,"0,542056074766355",1201561X,0,11,1,0,NO 60% - 80%,NO Bottom 20%
Theory and Practice of Logic Programming,28424,"0,287179487179487",14710684,14753081,NO Top 10%,NO 10% - 35%,1,0,NO Bottom 20%
Theory of Computing Systems,20573,"0,421188630490956",14324350,14330490,NO Top 10%,2,0,NO 60% - 80%,NO Bottom 20%
Topoi,4700152866,"0,0655737704918032",01677411,15728749,NO Top 10%,NO 10% - 35%,NO 35% - 60%,2,0
Topology and its Applications,27416,"0,486274509803921",01668641,0,NO Top 10%,1,0,NO 60% - 80%,NO Bottom 20%
Transactions of the American Mathematical Society,24689,"1,41575342465754",00029947,10886850,1,0,NO 35% - 60%,NO 60% - 80%,NO Bottom 20%
Turkish Journal of Mathematics,27428,"0,314410480349345",13000098,13036149,NO Top 10%,7,1,0,NO Bottom 20%
"UPB Scientific Bulletin, Series A: Applied Mathematics and Physics",25805,"0,147971360381862",12237027,22863672,NO Top 10%,NO 10% - 35%,8,1,0
